title;author;description;url
How to Win Friends and Influence People;Dale Carnegie; Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions.  ;https://www.google.com/books/edition/How_to_Win_Friends_and_Influence_People/hCf-DwAAQBAJ?hl=en&gbpv=0
IT'S ALL IN YOUR HEAD;Russ;Instant National Bestseller! Wall Street Journal bestseller; USA Today bestseller; Publishers Weekly bestseller; international bestseller.An inspirational book by self-made musical superstar, Russ, reminding you that it starts with YOU, to believe in yourself, and to get out of your own way.  Twenty-seven-year-old rapper, songwriter, and producer Russ walks his own path, at his own pace. By doing so, he proved that he didn’t need a major label to surpass over a billion streams on Spotify/Apple Music, get on Forbes’ 2019 “30 Under 30,” make the Forbes‘ “30 Under 30 Cash Kings” at number 20 for most earned, sell out arenas across the U.S. and around the globe, and become one of the most popular and engaged rappers right now. His method was simple: love and believe in yourself absolutely and work hard no matter what. In this memoir, Russ inspires readers to walk to their individual rhythms and beat their biggest obstacles: themselves. With chapters named after his most powerful and popular songs, IT'S ALL IN YOUR HEAD will reflect on the lessons he’s learned from his career, family, and relationships. He’ll push readers to bet on themselves, take those leaps of faith, and recognize struggles as opportunities. With illustrations throughout consistent with the brand Russ has built and his fan base loves, IT'S ALL IN YOUR HEAD will give readers an inside-look at the man and the motivation behind the music. A lover of books like The Alchemist and The Seven Spiritual Laws of Success, Russ delivers a short, potent, inspirational, raw, and honest book that gives readers a way to find self-belief and unlock their potential. Fans already rely on Russ as an inspiration of confidence; now, he is taking it to the next level with this book, which will contain lyrics from his music and visuals that reflect his inimitable style.;https://www.google.com/books/edition/IT_S_ALL_IN_YOUR_HEAD/QmiZDwAAQBAJ?hl=en&gbpv=0
Das Café am Rande der Welt: eine Erzählung über den Sinn des Lebens;John P. Strelecky;Eine Nacht im "Café der Fragen" verändert das Leben: Ein kleines Café mitten im Nirgendwo wird zum Wendepunkt eines Lebens. John, Werbemanager und immer in Eile, will eigentlich nur kurz Rast machen, doch dann entdeckt er auf der Speisekarte neben dem Menü drei Fragen: "Warum bist du hier? Hast du Angst vor dem Tod? Führst du ein erfülltes Leben?". Neugierig geworden lässt sich John auf ein großes Abenteuer ein: die Reise zum eigenen Ich.;https://www.google.com/books/edition/Das_Caf%C3%A9_am_Rande_der_Welt/YtimoAEACAAJ?hl=en
The Power of Your Subconscious Mind: Unlock the Secrets Within;Joseph Murphy; Here is the complete, original text of the millions-selling self- help guide that reveals your invisible power to attain any goal-paired with a compelling bonus work, How to Attract Money.  The Power of Your Subconscious Mind, one of the most beloved and bestselling inspirational guides of all time, shows how changing your thought patterns can produce dramatic improvements in your life. Using practical, easy-to-understand techniques and real-world case studies, Dr. Joseph Murphy reveals the vast influences of the subconscious mind on all aspects of existence-money, relationships, jobs, happiness-and how you can apply and direct its power to achieve your goals and dreams.  A life-changing classic since its initial publication in 1963, The Power of Your Subconscious Mind has opened millions of readers to the unseen force within them. Now, the fully intact, original text is redesigned and repackaged in this affordable, handsome volume-which also features one of Murphy's most irresistible works, How to Attract Money. This is the flagship edition of a self-help landmark.;https://www.google.de/books/edition/The_Power_of_Your_Subconscious_Mind/0QSZTMRBODkC?hl=en&gbpv=0
The Richest Man in Babylon;George Samuel Clason;This book holds the secrets to acquiring money, keeping money, and making money earn more money. Copyright © Libri GmbH. All rights reserved.;https://www.google.de/books/edition/_/UjFpOOm1zwMC?hl=en&gbpv=0&bsq=the%20richest%20man%20in%20babylon
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a ...;Mark Manson;#1 New York Times Bestseller • More than 10 million Copies SoldIn this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be "positive" all the time so that we can truly become better, happier people.For decades, we’ve been told that positive thinking is the key to a happy, rich life. "F**k positivity," Mark Manson says. "Let’s be honest, shit is f**ked and we have to live with it." In his wildly popular Internet blog, Manson doesn’t sugarcoat or equivocate. He tells it like it is—a dose of raw, refreshing, honest truth that is sorely lacking today. The Subtle Art of Not Giving a F**k is his antidote to the coddling, let’s-all-feel-good mindset that has infected modern society and spoiled a generation, rewarding them with gold medals just for showing up.Manson makes the argument, backed both by academic research and well-timed poop jokes, that improving our lives hinges not on our ability to turn lemons into lemonade, but on learning to stomach lemons better. Human beings are flawed and limited—"not everybody can be extraordinary, there are winners and losers in society, and some of it is not fair or your fault." Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek.There are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F*ck is a refreshing slap for a generation to help them lead contented, grounded lives.;https://www.google.de/books/edition/The_Subtle_Art_of_Not_Giving_a_F_ck/yng_CwAAQBAJ?hl=en&gbpv=0
Atomic Habits: The life-changing million-copy #1 bestseller;James Clear;***COMING 9TH DECEMBER 2025 - THE ATOMIC HABITS WORKBOOK: OFFICIAL COMPANION TO THE #1 WORLDWIDE BESTSELLER. PREORDER NOW***THE PHENOMENAL INTERNATIONAL BESTSELLER: OVER 25 MILLION COPIES SOLD WORLDWIDETransform your life with tiny changes in behaviour, starting now.People think that when you want to change your life, you need to think big. But world-renowned habits expert James Clear has discovered another way. He knows that real change comes from the compound effect of hundreds of small decisions: doing two push-ups a day, waking up five minutes early, or holding a single short phone call.He calls them atomic habits.In this ground-breaking book, Clears reveals exactly how these minuscule changes can grow into such life-altering outcomes. He uncovers a handful of simple life hacks (the forgotten art of Habit Stacking, the unexpected power of the Two Minute Rule, or the trick to entering the Goldilocks Zone), and delves into cutting-edge psychology and neuroscience to explain why they matter. Along the way, he tells inspiring stories of Olympic gold medalists, leading CEOs, and distinguished scientists who have used the science of tiny habits to stay productive, motivated, and happy.These small changes will have a revolutionary effect on your career, your relationships, and your life.________________________________A NEW YORK TIMES AND SUNDAY TIMES BESTSELLER'A supremely practical and useful book.' Mark Manson, author of The Subtle Art of Not Giving A F*ck'James Clear has spent years honing the art and studying the science of habits. This engaging, hands-on book is the guide you need to break bad routines and make good ones.' Adam Grant, author of Originals'Atomic Habits is a step-by-step manual for changing routines.' Books of the Month, Financial Times'A special book that will change how you approach your day and live your life.' Ryan Holiday, author of The Obstacle is the Way;https://www.google.de/books/edition/Atomic_Habits/fFCjDQAAQBAJ?hl=en&gbpv=0
Minimalism: Live a Meaningful Life;Joshua Fields Millburn, Ryan Nicodemus;Minimalism is the thing that gets us past the things so we can make room for life&#39;s most important things—which actually aren&#39;t things at all.At age 30, best friends Joshua Fields Millburn &amp; Ryan Nicodemus walked away from their six-figure corporate careers, jettisoned most of their material possessions, and started focusing on what&#39;s truly important.In their debut book, Joshua &amp; Ryan, authors of the popular website The Minimalists, explore their troubled pasts and descent into depression. Though they had achieved the American Dream, they worked ridiculous hours, wastefully spent money, and lived paycheck to paycheck. Instead of discovering their passions, they pacified themselves with ephemeral indulgences—which only led to more debt, depression, and discontent. After a pair of life-changing events, Joshua &amp; Ryan discovered minimalism, allowing them to eliminate their excess material things so they could focus on life&#39;s most important &quot;things&quot;: health, relationships, passion, growth, and contribution.;https://www.google.de/books/edition/Minimalism_Live_a_Meaningful_Life/rTRJAwAAQBAJ?hl=en&gbpv=0
Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate ...;Scott H. Young;Now a Wall Street Journal bestseller.Learn a new talent, stay relevant, reinvent yourself, and adapt to whatever the workplace throws your way. Ultralearning offers nine principles to master hard skills quickly. This is the essential guide to future-proof your career and maximize your competitive advantage through self-education.In these tumultuous times of economic and technological change, staying ahead depends on continual self-education—a lifelong mastery of fresh ideas, subjects, and skills. If you want to accomplish more and stand apart from everyone else, you need to become an ultralearner. The challenge of learning new skills is that you think you already know how best to learn, as you did as a student, so you rerun old routines and old ways of solving problems. To counter that, Ultralearning offers powerful strategies to break you out of those mental ruts and introduces new training methods to help you push through to higher levels of retention. Scott H. Young incorporates the latest research about the most effective learning methods and the stories of other ultralearners like himself—among them Benjamin Franklin, chess grandmaster Judit Polgár, and Nobel laureate physicist Richard Feynman, as well as a host of others, such as little-known modern polymath Nigel Richards, who won the French World Scrabble Championship—without knowing French. Young documents the methods he and others have used to acquire knowledge and shows that, far from being an obscure skill limited to aggressive autodidacts, ultralearning is a powerful tool anyone can use to improve their career, studies, and life. Ultralearning explores this fascinating subculture, shares a proven framework for a successful ultralearning project, and offers insights into how you can organize and exe - cute a plan to learn anything deeply and quickly, without teachers or budget-busting tuition costs.Whether the goal is to be fluent in a language (or ten languages), earn the equivalent of a college degree in a fraction of the time, or master multiple tools to build a product or business from the ground up, the principles in Ultralearning will guide you to success.;https://www.google.de/books/edition/Ultralearning/jyV2DwAAQBAJ?hl=en&gbpv=0
Sorge dich nicht;lebe! Neu: Die Kunst, zu einem von Ängsten und ...;In diesem Buch greift Dale Carnegie eines der wichtigsten Themen unserer Zeit auf - die alltäglichen Ängste und Sorgen, die uns an der Entfaltung unserer Möglichkeiten hindern und die es uns so schwer machen, einfach glücklich zu sein und den Tag mit Selbstvertrauen und Zuversicht zu beginnen. Die Grundsätze für ein unbesorgteres Leben, die Dale Carnegie hier aufstellt, sind anregend, für jeden Menschen nachvollziehbar und - sie lassen sich wirklich in die Praxis umsetzen. Diese Buch hilft Ihnen - sich das Sorgen abzugewöhnen, ehe es einen zugrunde richtet - zu einer Lebenseinstellung zu gelangen, die Frieden und Glück bringt - mit der Kritik anderer fertig zu werden - geistig und körperlich auf der Höhe zu bleiben - sich selbst zu finden - Trübsinn in wenigen Tagen zu heilen - an vielen Beispielen zu erkennen, was der Wille des Menschen vermag - das Leben positiv zu verändern;https://www.google.de/books/edition/Sorge_dich_nicht_lebe_Neu/5F9rAgAAQBAJ?hl=en&gbpv=0
