How to win Friends & Influence People;;2019
It’s all in your head;Russ;2019
das cafe am rande der welt;;2019
Power of the subconscious;;2019
The richest man in babylon;;2020
The subtle art of Not giving a fuck;;2020
Atomic Habits;;2020
Minimalism;;2020
Ultralearning;;2020
sorge dich nicht - lebe;;2020
Human Nature Teil 1;;2021
Steal like an Artist;;2021
Why we sleep;;2021
The Almanack of Naval Ravikant;;2021
Antonio im Wunderland;;2021
How to think like an entrepreneur;;2021
Offene See;Benjamin Meyers;2021
Outliers - the story of success;;2021
the psychology of money;;2021
12 months to 1 million;;2022
kopf schlägt kapital;;2022
schnelles denken, langsames denken;;2022
Der kleine Garten am Meer;;2022
So good they cant ignore you;;2022
contagious;;2022
kurze antworten auf große Fragen;;2022
The Phoenix Project;;2022
Alte sorten;;2022
social media analytics;;2022
Doing Data Science;;2022
Deep Work;;2022
The Pathless Path;;2023
drive;;2023
das herz von paris;;2023
no limits;;2023
der flug der stare;;2023
The Great Gatsby;;2023
how to become a straight A student;;2023
The Age of AI;;2023
The Alchemist;;2023
Range (How Generalists triumph in a specialized world);;2023
The Untethered soul;;2023
The Autobiography of benjamin franklin;;2023
Die Macht der Geographie;;2023
Factfulness;;2023
Außer dienst: eine bilanz;Helmut Schmidt;2024
The big Five for Life;;2024
Shoe dog;;2024
Storyworthy;;2024
Educated;;2024
Supercommunicators;Charles Durhigg;2024
The unspoken rules;Gorick Ng;2024
$100M Offers;Alex Harmozi;2024
Working Backwards;Amazon‘s culture;2024
Same as ever;;2024
Eine kurze Geschichte der Menschheit;;2024
Basic Economics;Thomas Sowell;2024
1984 (Big brother);;2024
The lean startup;;2024
Poor charlie‘s almanack;charlie munger;2024
The 7 habits of highly effective people;;2025
Writing science;;2025
Wiedersehen am Rande der Welt;;2025
on writing;steven king;2025
Der grosse Sommer;Ewald Arenz;2025
A degree in a book: electrical and mechanical engineering;;2025
why economies rise or fall;peter rodriguez;2025
how big things get done;bent flyvbjerg,dan gardner;2025
Der Steppenwolf;Hermann Hesse;2025
